[2024-06-11 08:51:53.885]	 List of discovered tpm plugins: 
[2024-06-11 08:51:53.915]	 Invoking /home/nizar/.config/tmux/plugins/tpm/bin/install_plugins
[2024-06-11 08:51:53.987]	 Installing "vim-tmux-navigator"
[2024-06-11 08:52:00.494]	   "vim-tmux-navigator" download success
[2024-06-11 08:52:00.529]	 Done.

[2024-06-11 13:23:50.958]	 List of discovered tpm plugins: 
[2024-06-11 13:23:50.992]	 Invoking /home/nizar/.config/tmux/plugins/tpm/bin/install_plugins
[2024-06-11 13:23:51.067]	 Installing "tmux-resurrect"
[2024-06-11 13:23:51.074]	 Already installed "vim-tmux-navigator"
[2024-06-11 13:23:55.274]	   "tmux-resurrect" download success
[2024-06-11 13:23:55.298]	 Invoking /home/nizar/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-06-11 13:23:55.332]	 Updating all plugins!
[2024-06-11 13:23:55.332]	 
[2024-06-11 13:23:56.508]	   "tmux-resurrect" update success
[2024-06-11 13:23:56.512]	     | Already up to date.
[2024-06-11 13:23:56.662]	   "vim-tmux-navigator" update success
[2024-06-11 13:23:56.665]	     | Already up to date.
[2024-06-11 13:23:56.686]	 Invoking /home/nizar/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-06-11 13:23:56.745]	 Done.

[2024-06-11 13:26:34.761]	 List of discovered tpm plugins: 
[2024-06-11 13:26:34.779]	 Invoking /home/nizar/.config/tmux/plugins/tpm/bin/install_plugins
[2024-06-11 13:26:34.817]	 Already installed "vim-tmux-navigator"
[2024-06-11 13:26:34.836]	 Invoking /home/nizar/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-06-11 13:26:34.859]	 Updating all plugins!
[2024-06-11 13:26:34.859]	 
[2024-06-11 13:26:36.098]	   "vim-tmux-navigator" update success
[2024-06-11 13:26:36.101]	     | Already up to date.
[2024-06-11 13:26:36.124]	 Invoking /home/nizar/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-06-11 13:26:36.166]	 Removing "tmux-resurrect"
[2024-06-11 13:26:36.172]	   "tmux-resurrect" clean success
[2024-06-11 13:26:36.197]	 Done.

[2024-06-11 13:26:47.152]	 List of discovered tpm plugins: 
[2024-06-11 13:26:47.177]	 Invoking /home/nizar/.config/tmux/plugins/tpm/bin/install_plugins
[2024-06-11 13:26:47.265]	 Already installed "vim-tmux-navigator"
[2024-06-11 13:26:47.295]	 Invoking /home/nizar/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-06-11 13:26:47.325]	 Updating all plugins!
[2024-06-11 13:26:47.325]	 
[2024-06-11 13:26:48.479]	   "vim-tmux-navigator" update success
[2024-06-11 13:26:48.481]	     | Already up to date.
[2024-06-11 13:26:48.502]	 Invoking /home/nizar/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-06-11 13:26:48.553]	 Done.

[2024-06-11 13:27:24.748]	 List of discovered tpm plugins: 
[2024-06-11 13:27:24.766]	 Invoking /home/nizar/.config/tmux/plugins/tpm/bin/install_plugins
[2024-06-11 13:27:24.806]	 Installing "tmux-resurrect"
[2024-06-11 13:27:24.807]	 Already installed "vim-tmux-navigator"
[2024-06-11 13:27:27.799]	   "tmux-resurrect" download success
[2024-06-11 13:27:27.821]	 Invoking /home/nizar/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-06-11 13:27:27.845]	 Updating all plugins!
[2024-06-11 13:27:27.846]	 
[2024-06-11 13:27:28.904]	   "vim-tmux-navigator" update success
[2024-06-11 13:27:28.906]	     | Already up to date.
[2024-06-11 13:27:28.934]	   "tmux-resurrect" update success
[2024-06-11 13:27:28.936]	     | Already up to date.
[2024-06-11 13:27:28.954]	 Invoking /home/nizar/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-06-11 13:27:29.011]	 Done.

[2024-06-11 13:51:38.857]	 List of discovered tpm plugins: 
[2024-06-11 13:51:38.875]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/install_plugins
[2024-06-11 13:51:38.920]	 Already installed "vim-tmux-navigator"
[2024-06-11 13:51:38.921]	 Already installed "tmux-resurrect"
[2024-06-11 13:51:38.940]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-06-11 13:51:38.964]	 Updating all plugins!
[2024-06-11 13:51:38.964]	 
